Item No.,1A,1B,2,3,4,5,6,7,8,9,,,,,,,,,10,11,12,13,,,,,,,14,,,,15,,,,,16,,,,,17,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,
Ques ID,Location,District,Age (Yrs),Sex,Education,Religion,Occupation,PersonNum,DogNum,PurSecurity,PurHunt,Pur Livest,PurPet,PurRecrt,PurExer,PurBreed,PurFood,PurOths,DogMove,Dog Bite,Heard Before,SourceSCH,SourceNews,sourceSocMed,SourceMass,SourceInternet,SourceFace,SourceOthers,OwnDog,Vaccinat,Year,Booklet,RabiesDog,RabiesCat,RabiesCattle,RabiesBat,RabiesDK,TransBite,TransScratch,TransInhale,TransSaliva,TransDK,SignBite,SignOff,SignGrowl,SignFoam,SignTail,SignSaliva,SignMouth,SignObject,SignAimless,SignRestless,SignVoice,SignPhobia,SignStare,SignUncon,SignFear,SignDK,BiteAction,SeekHelp,AnimMan,DogVacc,Dog Only,Oth Animals,Bite Only,Dog Saliva,Washing,Trad Heal,Local,Stray Bite,Own Bite,Vacc Bite,Wild Bite,Vacc Good,Fatal,Afford Cost,Fee Reason,Free roam,Stray Prob,Pop control,Onset Treat,World Day,Kill strays,Report Outbreak,Kill own,VSD Vacc,Good job,Support,Community,Information,Vacc Control,,,,,,,,,,,,,,
46,APREMDO,1,34,1,2,2,3,3,0,0,0,0,1,1,1,0,0,0,5,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,0,1,1,2,0,1,1,1,2,1,1,0,0,1,,,,,,,,,,,,,,
47,KANSARODO,1,23,1,3,1,1,3,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,1,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1,2,1,,,,,,,,,,,,,,
48,MPINSTIN,1,25,1,3,1,1,8,1,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,1,1,1,1,2,1,2,0,1,2,1,1,1,1,1,1,0,1,0,1,1,2,0,2,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
49,BEACH RD.,1,37,0,3,1,5,5,1,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,1,0,1,1,2016,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,0,1,2,1,2,1,1,2,2,0,1,1,0,1,,,,,,,,,,,,,,
50,KANSARODO,1,56,1,3,1,3,7,2,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,1,0,1,0,1,1,2018,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,5,1,1,1,2,2,2,1,2,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,2,0,1,,,,,,,,,,,,,,
51,FIJAI,1,32,1,3,1,5,10,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,0,1,1,0,2,0,0,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
52,ESSIPON,1,62,1,3,1,6,4,2,0,0,0,1,0,1,0,0,0,5,0,1,1,1,0,1,0,0,0,1,1,2017,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4,1,1,1,0,1,0,1,2,2,2,1,1,1,1,1,1,1,1,0,0,1,2,1,0,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,
53,MPINSTIN,1,39,0,3,1,5,4,2,0,1,0,1,1,1,0,0,0,2,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,
54,ADIEMBRA,1,35,1,3,1,2,6,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,2018,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,4,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,2,0,1,,,,,,,,,,,,,,
55,WINDY RIDGE,1,22,0,3,1,6,1,2,0,0,0,1,1,0,1,0,0,4,1,1,1,0,1,1,0,1,0,1,1,2018,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,2,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
