Item No.,1A,1B,2,3,4,5,6,7,8,9,,,,,,,,,10,11,12,13,,,,,,,14,,,,15,,,,,16,,,,,17,,,,,,,,,,,,,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,
Ques ID,Location,District,Age (Yrs),Sex,Education,Religion,Occupation,PersonNum,DogNum,PurSecurity,PurHunt,Pur Livest,PurPet,PurRecrt,PurExer,PurBreed,PurFood,PurOths,DogMove,Dog Bite,Heard Before,SourceSCH,SourceNews,sourceSocMed,SourceMass,SourceInternet,SourceFace,SourceOthers,OwnDog,Vaccinat,Year,Booklet,RabiesDog,RabiesCat,RabiesCattle,RabiesBat,RabiesDK,TransBite,TransScratch,TransInhale,TransSaliva,TransDK,SignBite,SignOff,SignGrowl,SignFoam,SignTail,SignSaliva,SignMouth,SignObject,SignAimless,SignRestless,SignVoice,SignPhobia,SignStare,SignUncon,SignFear,SignDK,BiteAction,SeekHelp,AnimMan,DogVacc,Dog Only,Oth Animals,Bite Only,Dog Saliva,Washing,Trad Heal,Local,Stray Bite,Own Bite,Vacc Bite,Wild Bite,Vacc Good,Fatal,Afford Cost,Fee Reason,Free roam,Stray Prob,Pop control,Onset Treat,World Day,Kill strays,Report Outbreak,Kill own,VSD Vacc,Good job,Support,Community,Information,Vacc Control,,,,,,,,,,,,,,
123,AHENKOFI,1,54,1,2,1,6,4,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,2,1,1,1,0,2,1,1,1,1,1,2,1,1,0,1,1,1,0,1,1,1,0,0,1,2,0,1,,,,,,,,,,,,,,
124,KANSARODO,1,34,1,1,1,6,5,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,1,2,1,1,1,2,2,1,1,0,1,1,2,1,1,0,1,1,2,0,1,1,1,0,0,1,1,0,2,,,,,,,,,,,,,,
125,TAKORADI,1,12,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,TAKORADI,1,41,1,3,1,3,6,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,4,1,1,2,1,0,0,1,2,2,1,1,1,1,1,0,1,1,1,0,2,1,1,1,2,0,0,2,0,1,1,1,0,,,,,,,,,,,,,,
127,NEW TADI,1,24,1,2,1,3,20,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,2,2,2,2,0,2,1,1,0,1,1,2,2,1,2,2,1,2,0,0,1,0,1,1,1,1,2,1,,,,,,,,,,,,,,
128,TAKORADI,1,18,1,0,1,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,NEW TADI,1,39,0,2,1,2,10,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,,,,,,,,,,,,,,
130,EUROPEAN TOWN,1,53,1,3,1,3,5,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,4,1,1,1,1,2,1,1,0,0,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
131,NEW TADI,1,12,0,2,1,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,MAMPONG,1,56,1,3,1,3,2,2,0,1,0,0,0,0,0,0,0,5,1,1,1,1,0,0,0,0,0,1,1,2017,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,
133,NEW TADI,1,15,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,,,,,,,,,,,,,,
134,TYPE C,1,21,1,2,1,6,3,1,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,ESSIKADO,1,66,1,3,1,6,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,1,1,0,2,1,1,1,0,1,1,2,2,1,2,0,1,,,,,,,,,,,,,,
136,QUARTERS,1,39,1,3,1,2,9,2,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,1,0,1,1,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,0,2,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,2,1,0,2,1,,,,,,,,,,,,,,
137,TAKORADI,1,31,1,2,1,1,6,0,0,1,0,0,1,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,KWEIKUMA,1,60,1,3,1,6,3,2,0,0,0,1,1,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,CHAP. HILL,1,48,1,3,1,3,6,0,0,1,0,1,0,0,0,0,0,,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,
140,TAKORADI,1,30,1,2,1,3,120,3,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,
141,KWEIKUMA,1,30,1,3,1,2,6,1,0,0,0,1,0,1,0,0,0,5,0,1,1,1,0,0,1,0,0,1,1,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,0,1,0,0,2,2,1,1,1,1,1,1,2,1,0,0,1,2,1,1,1,0,1,1,1,2,1,1,,,,,,,,,,,,,,
142,KETAN,1,36,1,3,1,6,4,1,0,0,0,1,0,0,0,0,0,5,0,1,1,1,0,1,1,0,0,1,1,2018,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,4,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,1,1,0,1,2,2,1,0,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,
143,APREMDO,1,56,0,0,1,6,3,4,0,0,0,1,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,TAKORADI,1,28,1,3,1,3,2,2,0,0,0,1,0,0,0,1,0,2,0,1,1,1,1,1,0,0,0,1,1,2017,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,2,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,
145,WINDY RIDGE,1,16,1,2,1,1,3,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,2,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,2,1,1,1,1,1,0,1,,,,,,,,,,,,,,
146,RACE CROSS,1,45,0,3,1,2,6,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,2,1,0,1,1,2,0,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,
147,WINDY RIDGE,1,28,0,1,1,5,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,2,1,0,1,1,1,0,0,0,1,0,0,1,2,0,1,,,,,,,,,,,,,,
148,WINDY RIDGE,1,26,1,1,1,6,7,3,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,AHENKOFI,1,57,0,1,1,5,3,2,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,2,1,1,1,0,1,0,1,1,2,2,1,1,1,1,1,1,2,1,0,1,1,2,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
150,APREMDO,1,28,0,1,1,6,4,3,1,0,0,1,1,0,0,0,0,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1,0,1,1,2,0,1,1,1,2,1,1,2,1,1,,,,,,,,,,,,,,
151,WINDY RIDGE,1,18,1,1,1,1,4,2,1,0,1,1,0,1,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,2016,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,4,1,1,2,1,0,,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,2,2,,,,,,,,,,,,,,
152,SEKONDI,1,66,1,3,1,6,3,2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,1,1,2016,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,1,1,2,1,0,1,0,2,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
153,WINDY RIDGE,1,14,0,2,1,1,5,2,1,0,1,1,0,1,0,0,0,4,0,1,1,1,1,1,1,1,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,4,1,1,2,1,0,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,2,0,1,1,2,2,,,,,,,,,,,,,,
154,KWEIKUMA,1,23,0,3,1,0,4,2,1,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1,2017,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1,0,1,1,2,0,1,1,1,1,0,1,1,0,2,,,,,,,,,,,,,,
155,WINDY RIDGE,1,28,0,0,1,2,6,2,1,1,1,1,1,1,1,1,0,2,0,1,0,0,1,0,0,0,0,1,1,2016,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,4,1,1,2,1,0,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,2,2,,,,,,,,,,,,,,
156,KWEIKUMA,1,25,0,3,1,6,3,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
157,WINDY RIDGE,1,20,1,3,1,1,4,2,1,0,1,1,0,1,0,0,0,5,0,1,1,1,1,1,1,1,0,1,1,2017,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,4,1,1,2,1,0,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,1,1,0,2,,,,,,,,,,,,,,
158,BEACH RD.,1,29,1,2,1,5,7,2,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,2,1,1,0,1,,,,,,,,,,,,,,
159,CHAP. HILL,1,27,1,3,1,2,8,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,4,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,2,2,0,1,0,0,0,1,0,0,1,,,,,,,,,,,,,,
160,TAKORADI,1,18,0,3,1,1,12,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,2018,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,1,1,1,0,2,0,1,1,0,2,1,1,1,1,1,1,2,0,0,1,1,2,1,1,1,1,0,2,1,1,0,1,,,,,,,,,,,,,,
161,SEKONDI,1,23,0,3,1,3,3,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
162,ESSIKADO,1,33,0,3,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,2,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
163,ADIEMBRA,1,19,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,,,,,,,,,,,,,,
164,RACE CROSS,1,28,0,2,1,1,3,0,1,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,
165,FIJAI,1,24,1,2,1,5,5,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,1,0,1,2,2,2,1,1,1,1,1,2,2,1,0,1,1,2,0,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
166,ESSIPON,1,36,1,2,2,1,3,0,1,0,0,1,1,0,1,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,4,1,1,1,0,0,1,2,2,2,1,1,1,1,1,1,2,2,1,0,1,0,2,0,0,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,
167,KETAN,1,33,1,3,1,5,7,1,1,0,0,1,0,1,0,0,0,5,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,4,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,0,2,2,0,1,0,2,0,1,1,0,1,2,1,0,0,1,,,,,,,,,,,,,,
168,NGYERESIA SEKONDI,1,30,1,2,1,0,5,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,,,
169,FIJAI,1,18,0,2,1,0,6,0,1,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,RACE CROSS,1,22,1,3,1,1,4,2,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,1,2015,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,
171,NGYERESIA SEKONDI,1,39,0,0,2,5,9,0,0,0,0,0,0,0,0,0,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,KETAN,1,49,0,1,2,4,8,1,1,0,0,0,0,0,0,0,0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,KETAN,1,42,1,3,2,2,7,0,1,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,KWEIKUMA,1,20,0,3,1,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,QUARTERS,2,24,1,3,1,0,5,0,1,0,0,1,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ANAJI,2,30,1,3,1,2,6,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2018,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,2,2,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
177,NEW-SITE,2,41,0,3,1,3,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,1,1,2017,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,1,2,0,2,1,1,1,1,1,1,1,1,1,2,1,2,0,1,1,1,1,2,1,0,0,1,,,,,,,,,,,,,,
178,BANKYEASE,2,36,1,3,1,2,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,2,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,
179,BANKYEASE,2,29,0,3,1,3,2,0,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
180,NEW-SITE,2,40,0,3,1,3,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,2,1,0,1,2,0,1,1,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,
181,ASSAKAE,2,52,1,3,1,3,5,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,
182,EFFIAKUMA,2,18,1,3,1,1,6,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,2018,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,1,2,1,0,0,1,2,0,0,1,0,0,0,2,2,0,1,,,,,,,,,,,,,,
183,EFFIAKUMA,2,18,1,2,1,1,11,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,EFFIAKUMA,2,37,2,1,1,6,4,0,0,1,0,1,1,1,1,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,1,1,1,0,1,0,1,2,0,0,1,1,1,2,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,2,0,1,,,,,,,,,,,,,,
185,ANAJI,2,24,1,3,1,6,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,2,0,1,2,2,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,
186,ANAJI,2,22,0,3,1,1,4,2,0,0,0,0,0,1,0,0,0,1,0,1,1,1,,1,1,1,1,1,1,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
187,ASSAKAE,2,31,1,3,1,6,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,1,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,2,1,0,2,2,1,2,1,1,1,1,1,1,2,0,1,,,,,,,,,,,,,,
188,BUTUMEGYABU,2,22,1,2,3,6,6,2,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,
189,BUTUMEGYABU,2,,1,3,1,6,1,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,2,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,,,,,,,,,,,,,,
190,EFFIAKUMA,2,25,1,3,1,0,,2,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,0,1,0,1,1,2,0,0,1,2,0,0,1,0,0,1,,,,,,,,,,,,,,
191,EFFIAKUMA,2,62,0,3,1,4,,2,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,2018,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,2,0,0,1,0,0,1,,,,,,,,,,,,,,
192,MPATADO,2,,1,3,1,6,3,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1,2017,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,4,1,2,1,2,2,1,2,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,1,2,1,1,0,1,1,,,,,,,,,,,,,,
